,    华山街道办事处,    护国街道办事处,    大观街道办事处,    龙翔街道办事处,    丰宁街道办事处,    莲华街道办事处,    红云街道办事处,    黑林铺街道办事处,    普吉街道办事处,    沙朗街道办事处,    厂口街道办事处,昆明国家高新技术产业开发区,    拓东街道办事处,    鼓楼街道办事处,    东华街道办事处,    联盟街道办事处,    金辰街道办事处,    青云街道办事处,    龙泉街道办事处,    茨坝街道办事处,    双龙街道办事处,    松华街道办事处,    滇源镇,    阿子营镇,    关上街道办事处,    太和街道办事处,    吴井街道办事处,    金马街道办事处,    小板桥街道办事处,    官渡街道办事处,    矣六街道办事处,    六甲街道办事处,    大板桥街道办事处,    阿拉街道办事处,    昆明经济技术开发区,    西苑街道办事处,    马街街道办事处,    金碧街道办事处,    永昌街道办事处,    前卫街道办事处,    福海街道办事处,    棕树营街道办事处,    碧鸡街道办事处,    海口街道办事处,    团结街道办事处,昆明滇池国家旅游度假区,    龙城街道办事处,    洛龙街道办事处,    斗南街道办事处,    乌龙街道办事处,    吴家营街道办事处,    雨花街道办事处,    七甸街道办事处,    洛羊街道办事处,    大渔街道办事处,    马金铺街道办事处
龙泉社区卫生服务中心,9.34548418132188 km,9.184364195216999 km,9.990063434471097 km,9.684029239385511 km,9.765668233031178 km,7.570061280191215 km,3.6864900627775543 km,11.603162184473913 km,8.926287160395674 km,9.04338435055663 km,8.207562048838637 km,10.955187466711331 km,9.231878030751835 km,8.207562048838637 km,7.514705293651466 km,7.467775193280148 km,5.16898281854225 km,5.483331128200266 km,1.2728897995653286 km,3.9991887264343595 km,9.512177175002822 km,12.212674574885442 km,23.51415564326965 km,25.306602839079652 km,11.183914446352885 km,10.061904116170941 km,9.31135259061895 km,8.437678434296666 km,15.039424238299906 km,17.07755385976217 km,20.216861582346848 km,18.60447667738022 km,23.578447037746102 km,13.075048321805047 km,15.769411427682869 km,11.875366451664803 km,13.572118937261278 km,11.013526024284976 km,11.15727111117068 km,13.024742542909687 km,13.477414496062345 km,10.71818816693012 km,19.4947560439462 km,39.240030275075846 km,22.84354660009893 km,17.244868814710628 km,25.031770886508912 km,28.50753988817188 km,22.425440575595022 km,24.802300742033857 km,30.92839688904205 km,31.538319948279348 km,25.92846425372305 km,24.473053835801917 km,31.581912240843188 km,36.419209214328646 km
松华社区卫生服务中心,9.487219588188056 km,9.415945263747401 km,10.109237853569581 km,9.790850237395041 km,9.769546699698436 km,7.5451129302338655 km,3.458230060148475 km,11.437839348951973 km,8.66274624691951 km,9.218425400005138 km,8.445212360593702 km,10.748984398919147 km,9.53182998461803 km,8.445212360593702 km,7.836371246364509 km,7.733774151775808 km,5.330506147366908 km,5.888292877926619 km,1.1084263961377179 km,3.3938259894467993 km,9.965336426688129 km,12.166940312721716 km,23.346815940473665 km,24.889864331814064 km,11.605346518171963 km,10.385985716876922 km,9.666443754100529 km,8.874411363204748 km,15.56624155831826 km,17.567383355942006 km,20.702142202602335 km,18.92675846392269 km,23.857156437001198 km,13.6555320679925 km,16.380584368195553 km,11.864942966959124 km,13.509321255988276 km,11.158913793794044 km,11.414518823650463 km,13.320414070584107 km,13.64054338246437 km,10.807167382899884 km,19.553585926273033 km,39.51492789053437 km,22.513629802309914 km,17.412660022015753 km,25.58726574532711 km,29.094059420448758 km,22.962865318444333 km,25.344663459680195 km,31.50415458624821 km,32.10450423290909 km,26.568173109862343 km,25.0568155097425 km,32.10715725083841 km,36.9435909935529 km
盘龙区双龙社区卫生服务中心,9.487219588188056 km,9.415945263747401 km,10.109237853569581 km,9.790850237395041 km,9.769546699698436 km,7.5451129302338655 km,3.458230060148475 km,11.437839348951973 km,8.66274624691951 km,9.218425400005138 km,8.445212360593702 km,10.748984398919147 km,9.53182998461803 km,8.445212360593702 km,7.836371246364509 km,7.733774151775808 km,5.330506147366908 km,5.888292877926619 km,1.1084263961377179 km,3.3938259894467993 km,9.965336426688129 km,12.166940312721716 km,23.346815940473665 km,24.889864331814064 km,11.605346518171963 km,10.385985716876922 km,9.666443754100529 km,8.874411363204748 km,15.56624155831826 km,17.567383355942006 km,20.702142202602335 km,18.92675846392269 km,23.857156437001198 km,13.6555320679925 km,16.380584368195553 km,11.864942966959124 km,13.509321255988276 km,11.158913793794044 km,11.414518823650463 km,13.320414070584107 km,13.64054338246437 km,10.807167382899884 km,19.553585926273033 km,39.51492789053437 km,22.513629802309914 km,17.412660022015753 km,25.58726574532711 km,29.094059420448758 km,22.962865318444333 km,25.344663459680195 km,31.50415458624821 km,32.10450423290909 km,26.568173109862343 km,25.0568155097425 km,32.10715725083841 km,36.9435909935529 km
盘龙区滇源街道中心卫生院,33.15846438111019 km,33.00129056699522 km,33.77947647307707 km,33.45708529287474 km,33.30129300569011 km,31.057031088031444 km,26.73090224635303 km,34.24975069847334 km,31.094204944168137 km,32.8745292753604 km,32.02288089787402 km,33.35565438878554 km,32.946453609935986 km,32.02288089787402 km,31.208024365720696 km,31.258836785900694 km,28.991078722765657 km,29.011441767502163 km,24.75353654566685 km,21.90259675508704 km,20.58339181818311 km,11.972397438354252 km,0.40016629939509385 km,11.04030500956896 km,34.32424217734027 km,33.69992666185155 km,32.86210528036591 km,31.633994701026193 km,36.74371161956995 km,39.1988847667757 km,42.224726899252055 km,42.12628040917363 km,16.33387071462509 km,33.902634984249644 km,35.093683400454324 km,35.32887748996495 km,36.75629328705994 km,34.829967519686946 km,34.936315072049545 km,36.70583707607413 km,37.30591686480671 km,34.459987123820156 km,43.131853677077714 km,62.86315065309706 km,42.825622879026774 km,41.07594929423135 km,45.269658549329655 km,47.393897832194575 km,43.3188159515986 km,45.4128087491143 km,50.076460274661336 km,51.00334833079508 km,38.20456150537348 km,43.81848489075527 km,52.257787372470176 km,56.92150302566523 km
阿子营社区卫生服务中心,33.714923304280774 km,34.00916218465232 km,34.182904237685406 km,33.820980278638835 km,33.16505262681179 km,31.072152998665068 km,26.985160339814968 km,33.02800911539822 km,29.927052002517826 km,33.60863035802863 km,33.08621338618017 km,32.03668660457079 km,34.3103999978309 km,33.08621338618017 km,32.67195468834395 km,32.46697341967727 km,29.900661375038418 km,30.776925436168877 km,25.76065373802593 km,21.979883782151674 km,26.176819542052748 km,16.909961066279795 km,10.775677320082176 km,0.0007754457078260556 km,36.48949360965214 km,35.204283142430754 km,34.533330287030566 km,33.7449899387343 km,40.08872287140329 km,42.28557946045569 km,45.42861226953889 km,43.68670605913708 km,26.67969692702478 km,37.68665881396756 km,39.68671462328178 km,34.892560257000866 km,35.83961508239877 km,35.30819835292241 km,36.0444656668125 km,38.04377500886836 km,37.76934447368451 km,34.6565375996455 km,42.5630358942901 km,63.941405401879 km,38.826440676113116 km,41.42761929123275 km,49.68438485979442 km,52.57463747119492 km,47.30678393406582 km,49.60889209581265 km,55.172345258120735 km,55.944689383841435 km,45.64479758449227 km,48.68868607860786 km,56.49824237373401 km,61.31654454763323 km
云南省妇幼保健院（云南省妇女儿童医院）,1.654253549075827 km,1.8675303668267134 km,2.3320718516897956 km,2.073497190142739 km,2.866976900269318 km,2.161637213853848 km,5.2526700353223985 km,6.021182327389938 km,5.498000142287871 km,1.3883484422954686 km,1.2284944506272597 km,6.01097411259599 km,2.624555145166247 km,1.2284944506272597 km,2.1723408984820844 km,1.4253718312789343 km,2.526547621095882 km,3.5724045042846293 km,6.786902851446259 km,10.271443722408351 km,15.277249081947344 km,19.88176767280261 km,31.19314497166189 km,32.23158132233278 km,5.708645673822183 km,3.5334301825757746 km,3.398620986943516 km,4.1934035771616 km,10.754717810776432 km,11.921731222281235 km,14.802573527118145 km,11.512297471830253 km,30.106552436667627 km,10.375551934175954 km,13.682170735461566 km,4.7919953158323345 km,6.738196992968729 km,3.318547615503422 km,3.8563417688514328 km,5.903675705570637 km,5.791239828348118 km,3.1388379608125927 km,11.901743544203551 km,31.80168804848341 km,18.021837347918446 km,9.563277558482119 km,20.679796225801635 km,24.793889086216225 km,17.807398913505107 km,20.186110808201818 km,26.866227011394187 km,27.234864394137098 km,26.19251647389532 km,20.831404346235 km,26.473829740570352 km,31.220364301327837 km
云南省盘龙区金沙社区卫生服务中心,5.7741853835919095 km,4.548067700253096 km,6.4243624157523005 km,6.393760719761972 km,7.677787630442549 km,6.890928372347317 km,7.611972873616466 km,10.934035023252171 km,10.182077525810842 km,5.201735305337372 km,4.049910099895927 km,10.938332043093446 km,3.6654714926164185 km,4.049910099895927 km,2.776332483980849 km,3.5102301256223756 km,4.818256001993848 km,2.6389550178731302 km,7.565892772590083 km,11.503259065848917 km,11.99214273778431 km,18.598386108789217 km,30.278453535809323 km,32.96964057273824 km,3.766810091905918 km,3.87438654029037 km,2.965490554746253 km,1.2928404740207822 km,7.3935605103300395 km,9.358500639218548 km,12.498108856619776 km,11.627386853546126 km,26.76330584684995 km,5.977439556246083 km,9.161935226980084 km,9.284582369782727 km,11.235366266060854 km,6.774327506288887 km,5.506147145579539 km,6.616762895955399 km,8.47673389475613 km,7.262475205227645 km,15.010252086898861 km,32.34014268456508 km,22.87614311576794 km,11.761353328691182 km,17.5025629276428 km,21.235664421820598 km,14.805652804702023 km,17.200909940980534 km,23.536646707911434 km,24.066628421752913 km,21.320100909880736 km,17.193553295671737 km,23.912177821342336 km,28.74594765673403 km
昆机社区卫生服务中心,12.62195352051524 km,12.86924001382857 km,13.1326480785819 km,12.778289120416694 km,12.321170273154053 km,10.121992488760721 km,5.879736157231613 km,13.02416658771407 km,9.87502372141166 km,12.485134205580621 km,11.948393997802453 km,12.136834610908044 km,13.194726109816694 km,11.948393997802453 km,11.59814036945393 km,11.34588115799073 km,8.766652682106676 km,9.878437506128927 km,4.7800963339943 km,0.846693777076986 km,12.040297800254134 km,10.787106834201518 km,20.86902658383716 km,21.13919926720839 km,15.56270444913643 km,14.102965931737785 km,13.48003200458776 km,12.885548393833876 km,19.70647631062028 km,21.648323153778914 km,24.770075624983708 km,22.549816062295797 km,24.225200242422122 km,17.825443329021528 km,20.51244910624339 km,14.249269761169968 km,15.56459797173482 km,14.248916542330283 km,14.904558846636558 km,16.90679385393076 km,16.737222976402908 km,13.681077931359631 km,22.07838347445672 km,42.88303340967795 km,22.617360043217154 km,20.463228015484425 km,29.752060902567475 km,33.261553897216594 km,27.11195826605793 km,29.498447950476532 km,35.675260401819905 km,36.27432107032549 km,30.211099807286292 km,29.225753043257498 km,36.23817753187868 km,41.07228633565658 km
拓东街道尚义社区卫生服务站,2.8787904465266094 km,1.5289469717493993 km,3.441005368382109 km,3.4863929747097857 km,4.947528222187952 km,4.881783061364743 km,7.343515329631064 km,8.26644477440888 km,8.196671681706666 km,2.3293830707473107 km,1.5022492486992989 km,8.450370425311569 km,0.5671870426938218 km,1.5022492486992989 km,1.3440478651903605 km,1.6669756605206172 km,4.228031348323463 km,3.499871740136712 km,8.254952402535544 km,12.078600920104687 km,14.83425941134307 km,20.64756341555034 km,32.204756815882 km,34.01088154568472 km,3.012384015626903 km,1.2081684111574922 km,0.678585684312152 km,1.9267884636896484 km,8.031984479684796 km,9.290162428196242 km,12.25194168266171 km,9.751358448017903 km,29.68022396461332 km,7.772809534811537 km,11.083269237096559 km,6.297139447054128 km,8.21731761496811 km,3.674444200181995 km,2.5770388644068825 km,4.199559693736076 km,5.470140675944675 km,4.235030782617955 km,12.008916456748928 km,30.41213311490865 km,20.008353173239495 km,8.963798879180466 km,18.000696234688405 km,22.08123552296198 km,15.144386464515192 km,17.533415194204874 km,24.177784648144915 km,24.568467314331333 km,23.79021088954708 km,18.111165227205802 km,23.92029610811671 km,28.697415044604412 km
鼓楼街道交三桥社区卫生服务中心,2.0791624553506867 km,0.9675667117682772 km,2.7368569702595016 km,2.6991940684831013 km,4.054639992078327 km,3.8624057040395647 km,6.536455167333563 km,7.364048479568188 km,7.179757067924477 km,1.5065929534479052 km,0.4831392101407793 km,7.495743218822307 km,0.9943877848215749 km,0.4831392101407793 km,1.1230105450200927 km,0.9132630917736377 km,3.4750869608454753 km,3.319258551453791 km,7.664931483112668 km,11.395375009896318 km,14.990657718474562 km,20.3676420434936 km,31.84730731452695 km,33.366851622636936 km,4.008885474191649 km,1.936173761703135 km,1.6917787714077979 km,2.7032500653340117 km,9.0478747343956 km,10.255497989269978 km,13.18008366601058 km,10.323757199796695 km,29.858439450557135 km,8.751555612887202 km,12.062883911761737 km,5.590371870749011 km,7.54526290638785 km,3.2451551575325146 km,2.7814074821635217 km,4.687587110085341 km,5.387046230792244 km,3.5887837528017195 km,11.848491957363326 km,30.869389968032994 km,19.212538177572757 km,9.05049383878329 km,18.99176754279488 km,23.0903349827734 km,16.127112135960317 km,18.511441783911902 km,25.173916265949135 km,25.55374070470816 km,24.703099478920816 km,19.12509254225176 km,24.853647193540386 km,29.618037157921574 km
东华街道文艺新达社区卫生服务站,3.0984655734795217 km,2.0932939743198444 km,3.794130368868876 km,3.705821848710723 km,4.912299865017102 km,4.239669163658256 km,6.093850130204493 km,8.161283088258681 km,7.5830436150697 km,2.538771523235614 km,1.335866963021512 km,8.18491658864695 km,1.740128331511029 km,1.335866963021512 km,0.00343097375330678 km,0.7516037638044895 km,2.9712180710936886 km,2.244477193216658 km,6.912457760541692 km,10.751200718088525 km,13.865217009581409 km,19.372063300931707 km,30.900406949596615 km,32.67064242512697 km,4.125801621462773 km,2.5509076784919804 km,1.8880312194913738 km,2.060892568782551 km,8.960036916162469 km,10.419442930260853 km,13.439683961647834 km,11.094067135674644 km,28.732813174591026 km,8.286073314053134 km,11.57840485105757 km,6.608149900653395 km,8.572678066207278 km,4.368688230845855 km,3.7625983465071045 km,5.520117728826469 km,6.488215393645753 km,4.658856068805737 km,12.969050650251566 km,31.739747676215902 km,20.113678618499872 km,10.112018985042559 km,19.037691754831116 km,23.028235199692965 km,16.21319638622582 km,18.612082480028732 km,25.188954806128827 km,25.618498059959858 km,24.01927157630145 km,19.025752305208588 km,25.087066128969333 km,29.88136538450339 km
盘龙区东华街道,3.095252736303945 km,2.090947326162837 km,3.7910265962565606 km,3.7025443421524042 km,4.908722204545225 km,4.236093518338151 km,6.091951893839606 km,8.157633996621195 km,7.579498946506199 km,2.535639039013466 km,1.3326497443193899 km,8.181237178887878 km,1.739612088112157 km,1.3326497443193899 km,0.0013292831832067886 km,0.7479352167241314 km,2.9692580670826962 km,2.2456987731308966 km,6.911764085698735 km,10.750127916427253 km,13.867514852338218 km,19.372825406622674 km,30.900871282421104 km,32.66987692429033 km,4.127945300616295 km,2.5512267780860514 km,1.8894020217351444 km,2.064395171610245 km,8.962869085560177 km,10.421707723264602 km,13.441728698584178 km,11.094331217577375 km,28.735129020537215 km,8.289538589235429 km,11.58191261107217 km,6.604850842041433 km,8.569395760242628 km,4.366139560082452 km,3.76160329566806 km,5.5199683949871 km,6.486399025946758 km,4.655791364734386 km,12.96693165177208 km,31.73962986904839 km,20.110101718097624 km,10.110630726016193 km,19.040311743442512 km,23.03110261811221 km,16.21570876686163 km,18.614571976528563 km,25.19166269025189 km,25.62109430712209 km,24.022941008216513 km,19.028683424599492 km,25.089239704057746 km,29.88346831153977 km
席子营化机社区卫生服务站,3.2682971006138732 km,2.6323381122501286 km,3.9917063084651474 km,3.8156416064971985 km,4.757328303848463 km,3.652258446503529 km,5.102592239306984 km,7.862149599617321 km,6.932885175560249 km,2.779603742856311 km,1.6744525954376346 km,7.769989630882604 km,2.6066677381997745 km,1.6744525954376346 km,0.9922680653707795 km,0.8630672281820075 km,1.9820823456249692 km,1.737440936439447 km,5.97245308447985 km,9.77969246632679 km,13.506655097889755 km,18.624985316017426 km,30.09784021855303 km,31.71882966434644 km,5.111903438853071 km,3.484693754753207 km,2.8766090122548365 km,2.860353518464424 km,9.887077285256467 km,11.399107070921465 km,14.428124095302989 km,12.006712133105589 km,28.363923380847105 km,9.047256881406518 km,12.309960749857737 km,6.6482274959193575 km,8.605850751300371 km,4.768000015784419 km,4.529698995851193 km,6.394516938989521 km,7.0665456740058605 km,4.8527435767351195 km,13.442426151281555 km,32.60238255110181 km,19.884956479259454 km,10.771510105411323 km,19.988441396724266 km,23.945584101117284 km,17.17482771445034 km,19.575493414564818 km,26.12888287645647 km,26.571254543914417 km,24.56685820461632 km,19.93300798094929 km,26.070584580066527 km,30.867695631261537 km
联盟街道万宏国际社区卫生服务站,3.0761781653539413 km,2.6170229474351405 km,3.795530125104103 km,3.5895841180484442 km,4.43334530516319 km,3.241499777247298 km,4.82016920501296 km,7.490338659464956 km,6.514672832016144 km,2.630528544487096 km,1.6386150733519997 km,7.376246740582239 km,2.7614977543713866 km,1.6386150733519997 km,1.3042148280016796 km,0.9167696152577275 km,1.7014470136570754 km,1.989975945948814 km,5.838394455370177 km,9.587788232945421 km,13.720648904585095 km,18.639720469366544 km,30.07004304436875 km,31.550429289110856 km,5.424472190145818 km,3.674737648387165 km,3.1442606896175915 km,3.258706891459035 km,10.254368546144269 km,11.721576549928194 km,14.731871053894258 km,12.146726425021495 km,28.564878416196528 km,9.458258441807436 km,12.724562039809689 km,6.372255325485047 km,8.320557165949722 km,4.642300793261313 km,4.589412324807826 km,6.513645790711652 km,7.00440493289536 km,4.6436888913649765 km,13.313127333771783 km,32.68905568112542 km,19.519277904684458 km,10.739067947199125 km,20.341369345852094 km,24.31887028145283 km,17.518542196953458 km,19.91751793305463 km,26.489545385552116 km,26.922704668913116 km,24.98311732644225 km,20.310768866858965 km,26.385468547608284 km,31.176225837432547 km
盘龙区联盟街道北泰花园社区卫生服务站,2.639575878459752 km,3.4884909815239262 km,3.005975010144002 km,2.640631267041372 km,2.3157931755924666 km,0.3929153088378887 km,4.338529670537418 km,4.782375969040303 km,3.7394213625692347 km,2.747370187006554 km,3.008080582311091 km,4.554535261229358 km,4.377735211892502 km,3.008080582311091 km,3.844243115960898 km,3.1080937421330574 km,2.6764122456107695 km,4.6357126713003005 km,6.350305595181092 km,9.381438769511462 km,15.867106985570068 km,19.62440386996127 km,30.696448298943174 km,31.185000747015756 km,7.479923550455189 km,5.2562865180170695 km,5.1804043025377435 km,5.904677918215162 km,12.535439336893704 km,13.652742381700063 km,16.486246756145274 km,12.814091671395273 km,30.566631739151422 km,12.119688045466201 km,15.419368194410458 km,4.426551794717327 km,6.188489352899213 km,4.132382912952821 km,5.293056457327533 km,7.331200793682489 km,6.584448370123989 km,3.501641379022872 km,12.113073768207316 km,32.757544266576105 km,16.792350590963302 km,10.285594409415877 km,22.43038981652356 km,26.565849537289505 km,19.54958481349831 km,21.920908937431676 km,28.621340071350012 km,28.97559825986548 km,27.8196585145998 km,22.60942524512222 km,28.14525962493353 km,32.870101556983094 km
金辰街道金实社区卫生服务站,4.169904867921989 km,4.120483315293112 km,4.823850756451109 km,4.530309514862081 km,4.858832679081557 km,2.9608936375270525 km,3.141090641493604 km,7.427663972859966 km,5.755528820238478 km,3.879122288045287 km,3.1753104677202906 km,7.091326570459615 km,4.42743993555118 km,3.1753104677202906 km,2.9530093903635906 km,2.578453743311564 km,0.018820473964992025 km,2.34427723423939 km,4.2938038287944496 km,7.937369781029122 km,13.18833108771647 km,17.37037859128472 km,28.676984276376558 km,29.91362635170751 km,7.076197313758395 km,5.351596836006731 km,4.823217964565556 km,4.721140696650477 km,11.80161016055065 km,13.360922077698316 km,16.392315613477354 km,13.772369643231222 km,27.915722154626902 km,10.761798959466052 km,13.961338044195067 km,6.959928206130535 km,8.809282434031884 km,5.837521210211606 km,6.149029088069249 km,8.129692828647125 km,8.306808372498942 km,5.581240910148248 km,14.371523499199304 km,34.230335230610464 km,19.37861201246131 km,12.077530519888887 km,21.922534977751774 km,25.837260355629468 km,19.12112207585697 km,21.52311440082688 km,28.048782853190154 km,28.506378350882493 km,25.878434875129855 km,21.813441191056846 km,28.033895803572914 km,32.831886275858565 km
金辰街道罗丰社区卫生服务站,5.826436036260789 km,5.849753813019235 km,6.444335492708056 km,6.127002039758776 km,6.198290639324616 km,4.040810794278562 km,1.7614782888858018 km,8.296621138915354 km,6.029369770937531 km,5.578757598130967 km,4.902884670919631 km,7.777692726448387 km,6.122906660557862 km,4.902884670919631 km,4.552693590932253 km,4.274555547397024 km,1.7171462727537636 km,3.2204160201958003 km,2.5892125880661503 km,6.226353108150287 km,12.274133282490672 km,15.78947328245961 km,27.01011315922644 km,28.19455220865491 km,8.615548698717634 km,7.033108204010433 km,6.440759397349568 km,6.078249845136461 km,13.14084252912198 km,14.845847086646675 km,17.9183048422453 km,15.493643117334129 km,26.806828024866896 km,11.803149097206783 km,14.887767798453925 km,8.313247415358445 km,10.056275068336044 km,7.497943240336054 km,7.878140935371558 km,9.852467210648188 km,9.985002026967052 km,7.1492017799343275 km,15.916132511876429 km,35.957344830372946 km,19.977326147337216 km,13.757159007796236 km,23.280686821257536 km,27.086624930676727 km,20.52221963798702 km,22.925372194824142 km,29.360681435123684 km,29.859861899352364 km,26.33608653523537 km,23.04704802549143 km,29.518099521529596 km,34.331570855967804 km
云南瑞齐德医院,5.43889278983496 km,5.155455350180725 km,6.124343669969513 km,5.854305226890942 km,6.270006386211125 km,4.349752681635589 km,3.122667242846108 km,8.800115971298156 km,6.909864022088555 km,5.077555266165517 km,4.17725614035238 km,8.41366079909275 km,5.21515548082989 km,4.17725614035238 km,3.527443569228008 km,3.4317369248115983 km,1.4181728014212711 km,1.8807882536897025 km,3.3897801129949245 km,7.275367364605946 km,11.778761894266248 km,16.1268194329273 km,27.53147491522738 km,29.14952213810862 km,7.44776370743296 km,6.07396599089716 km,5.383817370309666 km,4.821057325290777 km,11.838751916778424 km,13.611340016682663 km,16.70695869452437 km,14.611175313145187 km,26.501136583088055 km,10.444408611370305 km,13.527229754650005 km,8.365260963296778 km,10.22315360882837 km,7.081259597580106 km,7.121097564749288 km,9.004968555152292 km,9.503778254939606 km,6.9163185785730406 km,15.693658527827028 km,35.21019588801892 km,20.697093709992487 km,13.256654323226527 km,21.975051830502924 km,25.74887724743435 km,19.235515814214104 km,21.63742038982388 km,28.03777010946105 km,28.549850693761233 km,25.060793610376987 km,21.707284171663968 km,28.268704036586502 km,33.0899244865199 km
云南新新华医院,4.219439258637188 km,3.9687118860969837 km,4.90888695960895 km,4.645767273605042 km,5.15506464663569 km,3.4137093896127846 km,3.6008800531780665 km,7.878399019142933 km,6.331691505751571 km,3.8575863528065546 km,2.9947226856893687 km,7.590360311404515 km,4.130015539980977 km,2.9947226856893687 km,2.5385636591236356 km,2.2953668065791306 km,0.6270465840290138 km,1.7391137110302493 km,4.45854689361799 km,8.229395637937348 km,12.843820719267454 km,17.34479540157079 km,28.729499351167856 km,30.180030490628944 km,6.624811760359695 km,5.028270741298157 km,4.42654790493714 km,4.183312055519897 km,11.271573282077895 km,12.886056552296504 km,15.938933963455275 km,13.524041766606004 km,27.62142530556417 km,10.171783469914061 km,13.361760659059339 km,7.223897171417604 km,9.114112026773324 km,5.860128281128133 km,5.963433682817014 km,7.893104559275938 km,8.286923254326307 km,5.709919242867609 km,14.478525161339558 km,34.06482760376973 km,19.86753882296222 km,12.043986959979366 km,21.40270122091176 km,25.289089804837612 km,18.61471352781252 km,21.017752255856408 km,27.516677497517986 km,27.98633493555007 km,25.272154123532843 km,21.2608530086502 km,27.56223673947682 km,32.36783877789888 km
金辰街道金刀营社区卫生服务站,4.926156703775992 km,4.938363117101901 km,5.556264326122392 km,5.246562645541604 km,5.417420215393616 km,3.3466563135470913 km,2.390751888818347 km,7.737168492293488 km,5.747595361720368 km,4.667130732107383 km,3.996621484272392 km,7.3035037075248885 km,5.242323194634747 km,3.996621484272392 km,3.7246315676640664 km,3.3921508975538903 km,0.8082856139970045 km,2.722235372751815 km,3.4974164695461742 km,7.116225166662112 km,12.799414614265899 km,16.649715431448946 km,27.907805132260144 km,29.091957693972052 km,7.829645426225728 km,6.162070765690353 km,5.607522012264018 km,5.384013970802229 km,12.47170442912433 km,14.095817026177768 km,17.145546011985655 km,14.594073073358027 km,27.441604071842807 km,11.294449051831595 km,14.445748369382006 km,7.533849934872358 km,9.32740627018155 km,6.59778296167469 km,6.968827626956759 km,8.951429049906208 km,9.080253339388738 km,6.280782631187992 km,15.063087030686432 km,35.04346299691043 km,19.573551193449134 km,12.852557137094262 km,22.606138317379052 km,26.474481189574927 km,19.82241029460794 km,22.22558655486048 km,28.71376676471493 km,29.18938227696239 km,26.155299585418412 km,22.442507009399886 km,28.771957701304615 km,33.57675365831873 km
金辰街道天祥社区卫生服务卫生中心,5.084662685721332 km,4.663985196354037 km,5.7904329754292325 km,5.547235177474612 km,6.122412569341788 km,4.368623776982462 km,3.7496361785074424 km,8.83768798504927 km,7.167874798150459 km,4.676406682199977 km,3.6891219492913585 km,8.524102824998327 km,4.632857432342243 km,3.6891219492913585 km,2.9171830209154055 km,2.9062144643798415 km,1.4480143248992519 km,1.2252738795099594 km,4.035024848921516 km,7.940073456762326 km,11.875704911214264 km,16.5836368909596 km,28.043426120420143 km,29.787609196555774 km,6.77978444362492 km,5.466776496909915 km,4.747381986696505 km,4.144718839923538 km,11.167715993817001 km,12.935119650024866 km,16.03174531194358 km,14.010179282478132 km,26.665482598800864 km,9.816558207868635 km,12.928022928886945 km,8.181117872485409 km,10.080269067108091 km,6.690572368274793 km,6.584063537162867 km,8.425440918497143 km,9.066908425472691 km,6.6124000708208035 km,15.34736381138333 km,34.643159054622224 km,20.809357419942117 km,12.798167776525537 km,21.305392472728528 km,25.09295042451329 km,18.562009309394526 km,20.964170042986506 km,27.373961563563363 km,27.881532673949852 km,24.595052669577527 km,21.052742855023876 km,27.59242246434787 km,32.41355038948417 km
青云山社区卫生服务站,5.557253088367365 km,4.746183477232233 km,6.2796549761018134 km,6.115105474613503 km,7.013565960566936 km,5.59725079234471 km,5.321029066390865 km,9.99729033865046 km,8.628645997770569 km,5.04624486931541 km,3.8740625855207065 km,9.795136370369374 km,4.337581266675157 km,3.8740625855207065 km,2.6737210014859474 km,3.067113245171007 km,2.908743763390024 km,0.6104539735677016 km,5.178796586216372 km,9.122268081756328 km,11.23537333690228 km,16.845875132324476 km,28.447774580340493 km,30.72407276127899 km,5.779707360421243 km,4.9870569146474395 km,4.122122882005128 km,3.0240169241571975 km,9.788352697792591 km,11.702437309267552 km,14.831876715616376 km,13.398831484229138 km,26.10147315516396 km,8.256078452415187 km,11.328398713118485 km,8.945296765323066 km,10.898964245530781 km,6.988334247770082 km,6.388012768870301 km,7.989166306249468 km,9.159278290545766 km,7.144759687137981 km,15.629571381426436 km,34.12648721935314 km,22.02642235200632 km,12.765464246645411 km,19.89803532401679 km,23.604315035035278 km,17.200310579888793 km,19.59642002511444 km,25.922495965142854 km,26.459857388404863 km,23.00302346269035 km,19.55984797602825 km,26.29579849430093 km,31.12756186271569 km
云山刘家营社区卫生服务站,6.108578808781455 km,5.446915742265539 km,6.830156101965762 km,6.627258501647535 km,7.359544958583321 km,5.708542967061336 km,4.706398322116934 km,10.171873561602004 km,8.519832672530619 km,5.636880848324705 km,4.520474376611247 km,9.878862878294761 km,5.155444206160064 km,4.520474376611247 km,3.438921678907822 km,3.7001291165728065 km,2.808963784125636 km,1.1922585636039995 km,4.296707456092632 km,8.228205936588687 km,10.68698240249471 km,15.968336023161157 km,27.546806824900035 km,29.783122251266605 km,6.722537118099445 km,5.85870769135022 km,5.017273536131642 km,3.96689755448563 km,10.662294590088381 km,12.618924100248503 km,15.75267866064879 km,14.3158853310634 km,25.52692975001877 km,8.99791603083365 km,11.986544028083147 km,9.372144819278303 km,11.300433881070933 km,7.6273144115027645 km,7.196064313746317 km,8.865846315117889 km,9.887656745211167 km,7.681359193697971 km,16.299987776443 km,35.0356030409846 km,22.16053825525571 km,13.545154805632313 km,20.74771404649617 km,24.399571801406427 km,18.072860843089497 km,20.46492004551629 km,26.7436332236392 km,27.29880458517202 km,23.37156761961952 km,20.354063337919136 km,27.187942346476138 km,32.021912496594496 km
